Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,323.000000,323.500000,319.000000,320.000000,311.164795,62526055
2020-02-03,315.000000,316.500000,312.000000,315.000000,306.302856,59560849
2020-02-04,336.500000,337.000000,325.000000,325.000000,316.026733,51890496
2020-02-05,329.000000,329.500000,324.500000,327.500000,318.457733,36601453
2020-02-06,329.500000,332.500000,329.000000,332.500000,323.319672,29267094
2020-02-07,330.000000,330.500000,326.000000,328.000000,318.943909,28798327
2020-02-10,321.500000,328.000000,321.000000,327.500000,318.457733,30632424
2020-02-11,330.500000,332.500000,330.000000,331.500000,322.347260,27524935
2020-02-12,333.500000,336.000000,333.000000,335.000000,325.750610,37612639
2020-02-13,338.000000,338.000000,335.000000,335.000000,325.750610,22757021
2020-02-14,337.000000,337.000000,334.500000,335.000000,325.750610,16933683
2020-02-17,331.500000,333.000000,330.500000,331.500000,322.347260,15937079
2020-02-18,324.500000,326.500000,322.000000,322.000000,313.109558,61825604
2020-02-19,322.500000,327.000000,322.000000,326.500000,317.485321,38781218
2020-02-20,328.000000,329.000000,325.000000,325.500000,316.512970,27011736
2020-02-21,325.500000,326.500000,323.000000,325.000000,316.026733,22813534
2020-02-24,319.500000,321.500000,319.500000,320.000000,311.164795,41693680
2020-02-25,320.000000,323.500000,317.500000,322.000000,313.109558,36195011
2020-02-26,317.000000,320.500000,316.500000,318.500000,309.706207,60479362
2020-02-27,319.000000,320.000000,315.000000,316.000000,307.275208,61250927
2020-03-02,308.000000,317.000000,308.000000,311.000000,302.413269,79912942
2020-03-03,318.500000,320.000000,316.000000,317.500000,308.733795,49679411
2020-03-04,322.000000,322.000000,317.000000,320.500000,311.650970,42941146
2020-03-05,325.000000,326.000000,323.000000,323.000000,314.081940,37861525
2020-03-06,320.000000,320.500000,315.000000,315.000000,306.302856,51546760
2020-03-09,307.500000,310.000000,305.500000,305.500000,297.065125,87871277
2020-03-10,301.500000,309.000000,301.000000,307.000000,298.523743,71950130
2020-03-11,309.000000,310.500000,302.000000,302.000000,293.661774,62216710
2020-03-12,299.000000,299.000000,287.000000,294.000000,285.882660,113527351
2020-03-13,275.000000,294.000000,272.500000,290.000000,281.993103,149995148
2020-03-16,285.000000,291.000000,275.500000,276.500000,268.865784,103873228
2020-03-17,265.000000,276.500000,265.000000,268.000000,260.600525,121323651
2020-03-18,269.500000,272.500000,260.000000,260.000000,252.821381,117437643
2020-03-19,252.000000,253.000000,235.500000,248.000000,243.494003,160811697
2020-03-20,258.500000,270.000000,256.000000,270.000000,265.094269,157664726
2020-03-23,257.000000,262.500000,252.000000,255.000000,250.366806,76466709
2020-03-24,268.000000,274.000000,266.000000,267.500000,262.639679,81952933
2020-03-25,276.500000,280.000000,274.000000,277.000000,271.967072,79447199
2020-03-26,279.500000,280.000000,275.500000,280.000000,274.912567,52845633
2020-03-27,284.000000,286.000000,273.000000,273.000000,268.039764,68752306
2020-03-30,263.500000,269.000000,262.500000,267.500000,262.639679,49159956
2020-03-31,273.000000,274.000000,269.500000,274.000000,269.021576,48837923
2020-04-01,276.500000,276.500000,271.500000,271.500000,266.567017,44515034
2020-04-06,273.000000,275.500000,270.000000,275.500000,270.494324,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,277.858063,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,279.821716,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,277.858063,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,274.421661,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,273.439819,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,279.821716,48809688
